State;State.C;Conservative;Moderate;Liberal;Dont.know;Sample.Size
AL;Alabama; 0.50 ; 0.29 ; 0.12 ; 0.08 ; 511.00 
AK;Alaska; 0.34 ; 0.37 ; 0.23 ; 0.06 ; 310.00 
AZ;Arizona; 0.39 ; 0.31 ; 0.23 ; 0.07 ; 653.00 
AR;Arkansas; 0.42 ; 0.38 ; 0.14 ; 0.06 ; 311.00 
CA;California; 0.31 ; 0.34 ; 0.29 ; 0.06 ; 3,697.00 
CO;Colorado; 0.33 ; 0.34 ; 0.28 ; 0.05 ; 504.00 
CT;Connecticut; 0.33 ; 0.36 ; 0.25 ; 0.06 ; 377.00 
DE;Delaware; 0.26 ; 0.40 ; 0.25 ; 0.09 ; 301.00 
DC;District of Columbia; 0.15 ; 0.39 ; 0.36 ; 0.10 ; 303.00 
FL;Florida; 0.37 ; 0.31 ; 0.24 ; 0.08 ; 2,020.00 
GA;Georgia; 0.42 ; 0.32 ; 0.20 ; 0.06 ; 968.00 
HI;Hawaii; 0.30 ; 0.42 ; 0.21 ; 0.06 ; 312.00 
ID;Idaho; 0.42 ; 0.32 ; 0.21 ; 0.05 ; 320.00 
IL;Illinois; 0.32 ; 0.35 ; 0.27 ; 0.06 ; 1,326.00 
IN;Indiana; 0.41 ; 0.31 ; 0.20 ; 0.08 ; 654.00 
IA;Iowa; 0.41 ; 0.31 ; 0.23 ; 0.06 ; 330.00 
KS;Kansas; 0.39 ; 0.31 ; 0.27 ; 0.03 ; 307.00 
KY;Kentucky; 0.42 ; 0.29 ; 0.23 ; 0.06 ; 439.00 
LA;Louisiana; 0.50 ; 0.30 ; 0.14 ; 0.06 ; 465.00 
ME;Maine; 0.34 ; 0.33 ; 0.30 ; 0.03 ; 303.00 
MD;Maryland; 0.26 ; 0.36 ; 0.29 ; 0.09 ; 644.00 
MA;Massachusetts; 0.23 ; 0.35 ; 0.36 ; 0.06 ; 704.00 
MI;Michigan; 0.35 ; 0.33 ; 0.24 ; 0.08 ; 982.00 
MN;Minnesota; 0.35 ; 0.32 ; 0.27 ; 0.07 ; 563.00 
MS;Mississippi; 0.45 ; 0.30 ; 0.19 ; 0.06 ; 309.00 
MO;Missouri; 0.39 ; 0.32 ; 0.21 ; 0.08 ; 642.00 
MT;Montana; 0.44 ; 0.31 ; 0.21 ; 0.05 ; 312.00 
NE;Nebraska; 0.41 ; 0.29 ; 0.21 ; 0.09 ; 312.00 
NV;Nevada; 0.33 ; 0.37 ; 0.24 ; 0.05 ; 314.00 
NH;New Hampshire; 0.34 ; 0.34 ; 0.28 ; 0.04 ; 303.00 
NJ;New Jersey; 0.29 ; 0.37 ; 0.28 ; 0.07 ; 886.00 
NM;New Mexico; 0.34 ; 0.36 ; 0.23 ; 0.07 ; 312.00 
NY;New York; 0.29 ; 0.34 ; 0.31 ; 0.06 ; 1,966.00 
NC;North Carolina; 0.40 ; 0.32 ; 0.23 ; 0.05 ; 1,022.00 
ND;North Dakota; 0.45 ; 0.30 ; 0.22 ; 0.03 ; 338.00 
OH;Ohio; 0.40 ; 0.32 ; 0.21 ; 0.07 ; 1,132.00 
OK;Oklahoma; 0.38 ; 0.37 ; 0.19 ; 0.06 ; 391.00 
OR;Oregon; 0.30 ; 0.34 ; 0.30 ; 0.06 ; 419.00 
PA;Pennsylvania; 0.36 ; 0.34 ; 0.23 ; 0.08 ; 1,366.00 
RI;Rhode Island; 0.26 ; 0.35 ; 0.30 ; 0.08 ; 305.00 
SC;South Carolina; 0.43 ; 0.35 ; 0.15 ; 0.06 ; 495.00 
SD;South Dakota; 0.47 ; 0.32 ; 0.15 ; 0.05 ; 305.00 
TN;Tennessee; 0.46 ; 0.27 ; 0.19 ; 0.08 ; 661.00 
TX;Texas; 0.39 ; 0.32 ; 0.21 ; 0.07 ; 2,535.00 
UT;Utah; 0.45 ; 0.31 ; 0.20 ; 0.04 ; 315.00 
VT;Vermont; 0.30 ; 0.32 ; 0.35 ; 0.03 ; 306.00 
VA;Virginia; 0.39 ; 0.37 ; 0.19 ; 0.05 ; 882.00 
WA;Washington; 0.30 ; 0.33 ; 0.30 ; 0.07 ; 714.00 
WV;West Virginia; 0.47 ; 0.30 ; 0.16 ; 0.06 ; 309.00 
WI;Wisconsin; 0.41 ; 0.36 ; 0.19 ; 0.04 ; 600.00 
WY;Wyoming; 0.41 ; 0.33 ; 0.17 ; 0.09 ; 316.00 
